Footnote,Citation Key 1,Pinpoint,Confidence,Original Content
"[^109]","@bolobhiDataProtection2019","","60","Article.4, General Data Protection regulation (2016) "
"[^110]","@bolobhiDataProtection2019","Article 4","60","Article 4 (11), General Data Protection regulation (2016)"
"[^111]","@bolobhiDataProtection2019","Article 15","60","Article 15, General Data Protection Regulation (2016)"
"[^112]","@bolobhiDataProtection2019","Article 15","60","Article 15 (2), General Data Protection Regulation (2016)"
"[^113]","@bolobhiDataProtection2019","Article 18","60","Article 18, General Data Protection Regulation (2016)"
"[^114]","@bolobhiDataProtection2019","Article 17","60","Article 17, General Data Protection Regulation (2016) "
"[^115]","@bolobhiDataProtection2019","Article 16","60","Article 16, General Data Protection Regulation (2016)"
"[^116]","@UseData","","130","The World Bank, “Use of data in the private sector of Nepal the current state and opportunities in finance, education and the media” (July 2020\) pg.12, available at “https://documents1.worldbank.org/curated/en/805261601023506163/pdf/Use-of-Data-in-the-Private-Sector-of-Nepal-The-Current-State-and-Opportunities-in-Finance-Education-and-the-Media.pdf”   "
"[^117]","@DataChange","","60","Interview with  DOIT, Annex-4"
"[^118]","@centralstatisticsofficeHandbookCollection2008","Section 2","55","Section 2(k), Electronic Transaction Act, 2063 (2008) "
"[^119]","@ElectronicTransactions","","60","“The Electronic Transactions Act, 2063 (2008).Pdf.”"
"[^120]","@centralstatisticsofficeHandbookCollection2008","Section 2","55","Section 2(v), Electronic Transaction Act, 2063 (2008)"
"[^121]","@SECIView","Section 2","60","Section 2(e), Electronic Transaction Act, 2063 (2008)"
"[^122]","@centralstatisticsofficeHandbookCollection2008","Section 4","55","Section 4, Electronic Transaction Act, 2063 (2008)"
"[^123]","@centralstatisticsofficeHandbookCollection2008","Section 5","55","Section 5, Electronic Transaction Act, 2063 (2008)"
"[^124]","@centralstatisticsofficeHandbookCollection2008","Section 28","55","Section 28, Electronic Transaction Act, 2063 (2008)"
"[^125]","@centralstatisticsofficeHandbookCollection2008","Section 47","55","Section 47, Electronic Transaction Act, 2063 (2008)"
"[^126]","@AdvBaburam2016","","60","Writ no.069-WO-0268"
"[^127]","@GuidelinesProcedural2017","","100","Guidelines (Procedural) for Access to Information, 2074 (2017), available at “https://www.nta.gov.np/uploads/contents/%E0%A4%B8%E0%A5%82%E0%A4%9A%E0%A4%A8%E0%A4%BE%E0%A4%AE%E0%A4%BE\_%E0%A4%AA%E0%A4%B9%E0%A5%81%E0%A4%81%E0%A4%9A\_%E0%A4%B8%E0%A4%AE%E0%A5%8D%E0%A4%B5%E0%A4%A8%E0%A5%8D%E0%A4%A7%E0%A5%80\_%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A4%BF%E0%A4%95%E0%A4%BE,%E0%A5%A8%E0%A5%A6%E0%A5%AD%E0%A5%AA.pdf”"
"[^128]","@GuidelinesProcedural2017","","100","Cause 3 (2), Guidelines (Procedural) for Access to Information, 2074 (2017)"
"[^129]","@GuidelinesProcedural2017","Clause 7","100","Clause 7, Guidelines (Procedural) for Access to Information, 2074 (2017)"
"[^130]","@GuidelinesProcedural2017","Clause 9","100","Clause 9, Guidelines (Procedural) for Access to Information, 2074 (2017)"
"[^131]","@GuidelinesProcedural2017","Clause 11","100","Clause 11, Guidelines (Procedural) for Access to Information, 2074 (2017)"
"[^132]","@DirectiveInternet2021","Clause 1","100","Clause 1, Directive for Internet Service Providers, 2077(2021)"
"[^133]","@DirectiveInternet2021","Clause 2","100","Clause 2, Directive for Internet Service Providers, 2077(2021)"
"[^134]","@DirectiveInternet2021","Clause 3","100","Clause 3, Directive for Internet Service Providers, 2077(2021)"
"[^135]","@DirectiveInternet2021","Clause 4","100","Clause 4, Directive for Internet Service Providers, 2077(2021)"
"[^136]","@DirectiveVoice2021","","100","Directive for Voice Service Providers, 2077 (2021)"
"[^137]","@DirectiveVoice2021","","100","Directive for Voice Service Providers, 2077 (2021)"
"[^138]","@globaldatabarometerNepal","Section 79","90","To frame and Enforce the Directives, Section 79, Electronic Transaction Act, 2063 (2008)"
"[^139]","@DirectiveManaging","Section 2","100","Section 2 (e), Directives for Managing the Use of Social Networks, 2080 (2023) "
"[^140]","@DirectiveManaging","Section 2","100","Section 2 (g), Directives for Managing the Use of Social Networks, 2080 (2023)"
"[^141]","@DirectiveManaging","Section 5","100","Section 5, Directives for Managing the Use of Social Networks, 2080 (2023)"
"[^142]","@DirectiveManaging","Section 3","100","Section 3, Directives for Managing the Use of Social Networks, 2080 (2023)"
"[^143]","@DirectiveManaging","Section 3","100","Section 3 (7), Directives for Managing the Use of Social Networks, 2080 (2023)"
"[^144]","@DirectiveManaging","Section 6","100","Section 6, Directives for Managing the Use of Social Networks, 2080 (2023)"
"[^145]","@DirectiveManaging","Section 8","100","Section 8, Directives for Managing the Use of Social Networks, 2080 (2023)"
"[^146]","@DirectiveManaging","Section 4","100","Section 4, Directives for Managing the Use of Social Networks, 2080 (2023) "
"[^147]","@DirectiveManaging","Section 9","100","Section 9, Directives for Managing the Use of Social Networks, 2080 (2023)"
"[^148]","@DirectiveManaging","Section 8","100","Section 8, Directives for Managing the Use of Social Networks, 2080 (2023)"
"[^149]","@DirectiveManaging","Section 13","100","Section 13, Directives for Managing the Use of Social Networks, 2080 (2023)"
"[^150]","@DirectiveManaging","Section 2","100","‘Relevant Agencies’ means Department of Information and Broadcasting, Advertisment Board, Press Council and Nepal Telecommunication Authority. Section 2 (d), Directives for Managing the Use of Social Networks, 2080 (2023)"
"[^151]","@nepalConstitutionNepal2015","Article 17","130","Article 17, Constitution of Nepal, 2072 (2015) "
"[^152]","@nepalConstitutionNepal2015","Article 19","130","Article 19, Constitution of Nepal, 2072 (2015)"
"[^153]","@nepalCopyrightAct2002","Section 3","130","Section 3, Copyright Act, 2059 (2002)"
"[^154]","@nepalCopyrightAct2002","","130","“The Copyright Act, 2059 (2002).Pdf.”"
"[^155]","@nepalCopyrightAct2002","Section 4","130","Section 4, Copyright Act, 2059 (2002)"
"[^156]","@nepalCopyrightAct2002","Section 14","130","Section 14(1), Copyright Act, 2059 (2002)"
"[^157]","@nepalPatentDesignTrade2022","","130","“The Patent, Design and Trade Mark Act, 2022 (1965).”"
"[^158]","@nepalPatentDesignTrade2022","Section 8","130","Section 8, Patent, Design and Trademark Act, 2022 (1965)"
"[^159]","@nepalPatentDesignTrade2022","Section 18D","130","Section 18D, Patent, Design and Trademark Act, 2022 (1965)"
"[^160]","@nepalPatentDesignTrade2022","Section 14A","130","Section 14A, Patent, Design and Trademark Act, 2022 (1965)"
"[^161]","@nepalCopyrightAct2002","","130","Chapter 4, Copyright Act, 2059 (2002)"
"[^162]","@nepalNationalCyber2023","Section 19","54","Section 19, Telecommunication Act 2053 (1993)"
"[^163]","@nepalTelecommunicationsAct1993","","90","Telecommunications Act."
"[^164]","@nepalPressPublicationAct1991","Section 14","110","Section 14, Press and Publications Act, 2048 (1991)"
"[^165]","@nepalPressPublicationAct1991","Section 15","110","Section 15, Press and Publications Act, 2048 (1991)"
"[^166]","@nepalPressPublicationAct1991","","130","Press and Publication Act, 2048 (1991) – Nepal Law Commission."
"[^167]","@nepalPressPublicationAct1991","Section 14","110","Section 14, Press and Publications Act, 2048 (1991)"
"[^168]","@nepalPressPublicationAct1991","Section 16","110","Section 16, Press and Publications Act, 2048 (1991)"
"[^169]","@nepalPressPublicationAct1991","Section 15","120","Section 15, Press and Publications Act, 2048 (1991)"
"[^170]","@globaldatabarometerNepal","","90","Peng Hwa Ang & Ors., ‘Shuting down of mobile phone and the downfall of Nepalese society, economy and politics’, (2012) PacificAffairs, vol.85 no.3. available at” https://dr.ntu.edu.sg/bitstream/10356/105954/2/Shutting%20down%20the%20mobile%20phone%20and%20the%20downfall%20of%20Nepalese%20society%2C%20economy%20and%20politics.pdf”"
"[^171]","@nepalUnifiedDirectives20792023","Rule 19","115","The Unified Directive no. 14/2079, Rule 19 (11), Unified Directives issued by the Nepal Rastra Bank to “A”, “B” and “C” Category         Certified Institutions, 2079 (2023),"
"[^172]","@nepalUnifiedDirectives20792023","Schedule 1","115","Schedule 1, Unified Directives issued by the Nepal Rastra Bank to “A”, “B” and “C” Category Certified Institutions, 2079 (2023)"
"[^173]","@bolobhiDataProtection2019","","60","“PDF,” n.d."
"[^174]","@PaymentSystem","Rule 3","106","Rule 3 (1) (ii), Unified Directive no.3/079, Payment System Unified Directive,2079 (2023)"
"[^175]","@aryalEstablishingEffectivePrivacy2018","","50","“PDF,” n.d."
"[^176]","@PaymentSystem","Rule 3","106","Rule 3 (2) and (3),Unified Directive no.3/079, Payment System Unified Directive,2079 (2023)"
"[^177]","@nepalRightInformationAct2007","Section 27","130","Section 27, Right to Information Act, 2064 (2007)"
"[^178]","@nepalRightInformationAct2007","Section 27","130","Section 27(5), Right to Information Act, 2064 (2007)"
"[^179]","@pradhanGovernmentBacktracks","","100","Tika R Pradhan, ‘Government backtracks on information classification, The Kathmandu Post, (31 January 2023), available at “https://kathmandupost.com/national/2023/01/31/government-backtracks-on-information-classification” (last accessed on 6th October, 2023\)"
"[^180]","@globaldatabarometerNepal","","90","Pradhan, *Government Backtracks on Information Classification*."
"[^181]","@IndividualPrivacy","Rule 10","100","Rule 10, Individual Privacy Regulation, 2077 (2020)"
"[^182]","@nepalUnifiedDirectives20792023","","85","Table S.No.9, Decision of the Council of Ministers Meeting held on 2079/11/15 (27th February, 2023\)  "
"[^183]","@nepalUnifiedDirectives20792023","","85","Letter dated 2079/11/17 (1st March, 2023), Ministry of Information and Communication"
"[^184]","@nepalRightInformationAct2007","Section 2","90","Section 2 (b), Right to Information Act, 2064 (2006)"
"[^185]","@UseData","","130","The World Bank, “Use of data in the private sector of Nepal the current state and opportunities in finance, education and the media” (July 2020\) pg.19-22, available at “https://documents1.worldbank.org/curated/en/805261601023506163/pdf/Use-of-Data-in-the-Private-Sector-of-Nepal-The-Current-State-and-Opportunities-in-Finance-Education-and-the-Media.pdf”"
"[^186]","@UseData","","130","The World Bank, “Use of data in the private sector of Nepal the current state and opportunities in finance, education and the media” (July 2020\) pg.19, available at “https://documents1.worldbank.org/curated/en/805261601023506163/pdf/Use-of-Data-in-the-Private-Sector-of-Nepal-The-Current-State-and-Opportunities-in-Finance-Education-and-the-Media.pdf”"
"[^187]","","","0","ibid. "
"[^188]","@nepalPrivacyAct20752018","","110","ibid"
"[^189]","@nepalRightInformationAct2007","Section 28","130","Section 28, Right to Information Act, 2064 (2007)"
"[^190]","@RightInformation2005","Section 8","100","Section 8 (2), Right to Information Act, 2005 (India)"
"[^191]","@nepalRightInformationAct2007","Section 3","130","Section 3, Right to Information Act, 2064 (2007)"
"[^192]","@nepalRightInformationAct2007","Section 27","130","Section 27, Right to Information Act, 2064 (2007)"
"[^193]","@pradhanGovernmentBacktracks","","100","Tika R Pradhan, ‘Government backtracks on information classification, The Kathmandu Post, (31 January 2023), available at “https://kathmandupost.com/national/2023/01/31/government-backtracks-on-information-classification” (last accessed on 6th October, 2023\)"
"[^194]","@pradhanGovernmentBacktracks","","60","Pradhan, *Government Backtracks on Information Classification*."
"[^195]","@nepalRightInformationAct2007","Section 27","130","Section 27(3), Right to Information Act, 2064 (2007)"
"[^196]","@SECIView","","60","Interview with the   National Information Commission, Annex-2."
"[^197]","@nepalCopyrightAct2002","","130","Chapter 4, Copyright Act, 2059 (2002)"
"[^198]","@nepalRightInformationAct2007","Section 27","130","Section 27, Right to Information Act, 2064 (2007)"
"[^199]","@TooMany2022","","126","Samajha Bk, ‘Too many identity cards are burdening Nepal with big money and citizens with redtape: time to rethink?’, OnlineKhabar, (16 September 2022), available at “https://english.onlinekhabar.com/many-identity-cards-nepal-problem.html” (last accessed on 6th October, 2023\)"
"[^200]","@globaldatabarometerNepal","","90","*Too Many Identity Cards Are Burdening Nepal with Big Money and Citizens with Red Tape. Time to Rethink?*"
"[^201]","@globaldatabarometerNepal","","90","Adv. Bhaktiram Ghimire v Government of Nepal Prime Ministers Office, Ministry of Physical Infrastructure and Transport and ors., NKP 2079 (Decision no. 073-Wo-1097)"
"[^202]","@globaldatabarometerNepal","","90","“Smart License\_Privacy.Pdf.”"
"[^203]","@nepalConstitutionNepal2015","Article 28","130","Article 28, Constitution of Nepal, 2015"
"[^204]","@DigitalData2023","","125","Rabindra Ghimire, ‘Digital loss in Nepal is troubling Nepal in front of the helpless government’, OnlineKhabar (8 May 2023), available at” https://english.onlinekhabar.com/digital-data-loss-nepal-helpless.html” (last accessed on 6th October, 2023\) "
"[^205]","@DigitalData2023","","90","*Digital Data Loss Is Troubling Nepal in Front of the Helpless Government \- OnlineKhabar English News*."
"[^206]","@globaldatabarometerNepal","","90","There are total of 27 such service provider in Nepal."
"[^207]","@globaldatabarometerNepal","","90","There are only two GSM celluar data provider which are Ncell and Nepal Doorsanchar Company limited. "
"[^208]","@tplmapsGISService","","60","There are total of 122 such providers with largest players being worldlink, subisu, vianet, etc. "
"[^209]","@globaldatabarometerNepal","","90","By ‘micro-data’ the interviewee refers to all raw data collected or the initial set of information collected, such as national surveys."
"[^210]","@pangeniCartelContractors2018","","100","Rudra Pangeni, ‘Cartel of contractors in cahoots with government officials swindle billions of rupees, govt report reveal’, Centre for Investigative Journalism (15 January 2018), available at “https://cijnepal.org.np/cartel-contractors-cahoots-govt-officials-swindle-billions-rupees-govt-report-reveals/”(last accessed on 7th October, 2023\)"
"[^211]","@pangeniCartelContractors2018","","60","Pangeni, “Cartel of Contractors in Cahoots with Government Officials Swindle Billions of Rupees, Govt Report Reveal.”"
"[^212]","@nepalArchivesPreservationAct1986","Section 9","130","Section 9, Archives Preservation Act, 2046 (1986)"
"[^213]","@nepalArchivesPreservationAct1986","Section 10","130","Section 10, Archives Preservation Act, 2046 (1986)"
"[^214]","@nepalRightInformationAct2007","Section 4","130","Section 4, Right to Information Act, 2064 (2007)"
"[^215]","@PLGSPGender","","100","Gender Equality and Social Inclusion Strategy 2021 (2077)Available at” https://plgsp.gov.np/sites/default/files/2023-02/PLGSP%20Gender%20Equality%20and%20Social%20Inclusion%20%28GESI%29%20Strategy%202021%E2%80%932023.pdf”"
"[^216]","@globaldatabarometerNepal","","90","Writ no.0287 of the year 2070 B.S (2013) (Decision No.9875)"
"[^217]","@nationalstatisticsofficeNepal2021","","118","National Population and Housing Census, 2021, available at “https://censusnepal.cbs.gov.np/results/downloads/national”"
"[^218]","@PinkyGurung2023","","60","Writ No.079-WO-1382 "
"[^219]","@nepalConstitutionNepal2015","Article 18","130","Article 18 (3), Constitution of Nepal, 2072 (2015)"
"[^220]","@nepalPrivacyAct20752018","Section 27","50","Section 27 (e), Privacy Act, "